Num Runs,Processing Time,90% CI Lower Bound,90% CI Upper Bound,Standard Deviation
100,0.0009515285491943359,0.08659315368792268,0.11340684631207731,6.508671949286915e-06
200,0.005024909973144531,0.004772270759549638,0.19522772924045034,0.00013994179422312488
300,0.008290290832519531,0.09583154763185478,0.10416845236814523,4.009516336296966e-06
400,0.01291513442993164,0.09404996946549256,0.10595003053450744,7.0198879137559456e-06
500,0.01859903335571289,0.09646830536125048,0.10353169463874952,4.580241938666169e-06
600,0.025656938552856445,0.0958256662261351,0.1041743337738649,6.13664917231287e-06
700,0.03431439399719238,0.09406659105967388,0.10593340894032613,9.905797723168308e-06
800,0.04323840141296387,0.09754804817490942,0.10245195182509056,3.947033302913153e-06
900,0.05335402488708496,0.09766615368543571,0.1023338463145643,4.015018803502986e-06
1000,0.06496691703796387,0.09661465745814875,0.10338534254185125,6.34288650058583e-06
1100,0.07728314399719238,0.09692270228858808,0.10307729771141191,5.830352103783767e-06
1200,0.08853387832641602,0.09764613367573145,0.10235386632426854,3.9004612785248476e-06
1300,0.10273456573486328,0.09807185712422921,0.10192814287577079,3.874546096823988e-06
1400,0.12560677528381348,0.06104754821388632,0.13895245178611368,0.00012148504831676859
1500,0.144303560256958,0.08165679000133191,0.1183432099986681,4.5179411596648903e-05
1600,0.1629638671875,0.0973197945899283,0.1026802054100717,6.37926729449451e-06
1700,0.18219733238220215,0.09736835369951305,0.10263164630048696,6.263318870003905e-06
1800,0.20264172554016113,0.0860842697349164,0.11391573026508359,3.421274356505494e-05
1900,0.22346091270446777,0.09812441783137173,0.10187558216862827,4.57053451450405e-06
2000,0.24734258651733398,0.0969572919986901,0.10304270800130991,8.289989292413471e-06
